"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"455","Golden State Warriors","1/18/17",2016,4,4,34,"y","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",140,219
"456","Golden State Warriors","1/18/17",2016,1,1,47,"y","Jump Shot","2PT Field Goal",18,"Oklahoma City Thunder",184,36
"457","Golden State Warriors","1/18/17",2016,2,5,6,"y","Jump Shot","2PT Field Goal",13,"Oklahoma City Thunder",-66,115
"458","Golden State Warriors","1/18/17",2016,4,6,11,"y","Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",84,174
"459","Golden State Warriors","1/18/17",2016,3,7,43,"y","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",89,232
"460","Golden State Warriors","1/18/17",2016,1,0,0,"n","Jump Shot","3PT Field Goal",46,"Oklahoma City Thunder",6,462
"461","Golden State Warriors","1/18/17",2016,3,2,47,"n","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-70,249
"462","Golden State Warriors","1/18/17",2016,1,1,25,"y","Jump Shot","2PT Field Goal",6,"Oklahoma City Thunder",59,34
"463","Golden State Warriors","12/23/16",2016,2,7,56,"n","Jump Shot","3PT Field Goal",26,"Detroit Pistons",-133,228
"464","Golden State Warriors","11/21/16",2016,2,0,38,"n","Jump Shot","2PT Field Goal",16,"Indiana Pacers",-161,-16
"465","Golden State Warriors","12/23/16",2016,3,6,2,"y","Jump Shot","2PT Field Goal",17,"Detroit Pistons",168,61
"466","Golden State Warriors","12/23/16",2016,1,9,39,"y","Jump Shot","3PT Field Goal",25,"Detroit Pistons",-214,139
"467","Golden State Warriors","12/23/16",2016,1,7,1,"y","Jump Shot","3PT Field Goal",24,"Detroit Pistons",51,244
"468","Golden State Warriors","12/23/16",2016,3,5,46,"y","Jump Shot","2PT Field Goal",15,"Detroit Pistons",1,154
"469","Golden State Warriors","12/23/16",2016,4,8,20,"y","Jump Shot","2PT Field Goal",10,"Detroit Pistons",-61,80
"470","Golden State Warriors","12/23/16",2016,3,11,29,"n","Jump Shot","2PT Field Goal",17,"Detroit Pistons",114,139
"471","Golden State Warriors","12/23/16",2016,1,11,36,"n","Jump Shot","2PT Field Goal",17,"Detroit Pistons",74,164
"472","Golden State Warriors","12/23/16",2016,4,1,56,"y","Jump Shot","3PT Field Goal",25,"Detroit Pistons",25,257
"473","Golden State Warriors","12/23/16",2016,1,0,1,"n","Jump Shot","2PT Field Goal",15,"Detroit Pistons",78,134
"474","Golden State Warriors","11/9/16",2016,2,0,31,"y","Jump Shot","3PT Field Goal",24,"Dallas Mavericks",-235,75
"475","Golden State Warriors","11/9/16",2016,3,9,25,"y","Jump Shot","2PT Field Goal",11,"Dallas Mavericks",9,116
"476","Golden State Warriors","11/9/16",2016,3,0,0,"n","Jump Shot","3PT Field Goal",58,"Dallas Mavericks",115,572
"477","Golden State Warriors","12/25/16",2016,4,0,0,"n","Jump Shot","3PT Field Goal",33,"Cleveland Cavaliers",-214,259
"478","Golden State Warriors","12/13/16",2016,4,11,22,"n","Jump Shot","2PT Field Goal",9,"New Orleans Pelicans",-66,65
"479","Golden State Warriors","12/13/16",2016,2,10,38,"n","Jump Shot","2PT Field Goal",17,"New Orleans Pelicans",114,136
"480","Golden State Warriors","12/13/16",2016,4,6,49,"n","Jump Shot","3PT Field Goal",29,"New Orleans Pelicans",-7,296
"481","Golden State Warriors","12/13/16",2016,3,8,14,"n","Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",87,239
"482","Golden State Warriors","12/13/16",2016,1,2,45,"n","Jump Shot","2PT Field Goal",10,"New Orleans Pelicans",-92,51
"483","Golden State Warriors","12/13/16",2016,4,1,5,"n","Jump Shot","2PT Field Goal",13,"New Orleans Pelicans",135,36
"484","Golden State Warriors","12/13/16",2016,2,1,50,"y","Jump Shot","2PT Field Goal",18,"New Orleans Pelicans",-89,159
