"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y"
"545","Golden State Warriors","2/27/17",2016,1,5,58,"n","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-32,252
"546","Golden State Warriors","1/20/17",2016,1,10,13,"y","Jump Shot","2PT Field Goal",19,"Houston Rockets",-37,193
"547","Golden State Warriors","2/27/17",2016,4,8,20,"y","Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",199,154
"548","Golden State Warriors","2/8/17",2016,3,11,3,"y","Jump Shot","3PT Field Goal",23,"Chicago Bulls",238,7
"549","Golden State Warriors","2/8/17",2016,4,8,34,"y","Jump Shot","2PT Field Goal",22,"Chicago Bulls",92,205
"550","Golden State Warriors","2/8/17",2016,2,9,48,"n","Jump Shot","2PT Field Goal",18,"Chicago Bulls",-174,65
"551","Golden State Warriors","2/8/17",2016,3,10,35,"y","Jump Shot","3PT Field Goal",22,"Chicago Bulls",228,16
"552","Golden State Warriors","2/8/17",2016,1,3,35,"y","Jump Shot","3PT Field Goal",23,"Chicago Bulls",-230,7
"553","Golden State Warriors","2/8/17",2016,2,10,14,"n","Jump Shot","2PT Field Goal",14,"Chicago Bulls",91,111
"554","Golden State Warriors","2/8/17",2016,1,6,41,"n","Jump Shot","3PT Field Goal",23,"Chicago Bulls",230,3
"555","Golden State Warriors","2/8/17",2016,1,10,18,"n","Jump Shot","3PT Field Goal",26,"Chicago Bulls",-83,252
"556","Golden State Warriors","2/8/17",2016,4,7,59,"y","Jump Shot","2PT Field Goal",14,"Chicago Bulls",71,131
"557","Golden State Warriors","11/3/16",2016,3,8,26,"y","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-53,252
"558","Golden State Warriors","11/3/16",2016,3,7,41,"y","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",220,124
"559","Golden State Warriors","11/3/16",2016,2,10,6,"n","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",137,213
"560","Golden State Warriors","11/3/16",2016,1,5,57,"y","Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",210,131
"561","Golden State Warriors","11/3/16",2016,2,10,12,"n","Jump Shot","2PT Field Goal",11,"Oklahoma City Thunder",56,95
"562","Golden State Warriors","11/3/16",2016,3,10,17,"n","Jump Shot","3PT Field Goal",23,"Oklahoma City Thunder",-235,2
"563","Golden State Warriors","11/3/16",2016,3,9,46,"n","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",168,195
"564","Golden State Warriors","11/3/16",2016,2,7,46,"n","Jump Shot","2PT Field Goal",11,"Oklahoma City Thunder",0,115
"565","Golden State Warriors","11/3/16",2016,3,7,14,"n","Jump Shot","2PT Field Goal",13,"Oklahoma City Thunder",138,3
"566","Golden State Warriors","11/3/16",2016,1,8,4,"n","Jump Shot","2PT Field Goal",18,"Oklahoma City Thunder",40,178
"567","Golden State Warriors","12/20/16",2016,4,9,2,"y","Jump Shot","2PT Field Goal",14,"Utah Jazz",-58,129
"568","Golden State Warriors","12/20/16",2016,2,6,40,"y","Jump Shot","2PT Field Goal",18,"Utah Jazz",138,121
"569","Golden State Warriors","12/20/16",2016,3,7,25,"n","Jump Shot","3PT Field Goal",25,"Utah Jazz",174,193
"570","Golden State Warriors","12/20/16",2016,2,8,13,"y","Jump Shot","2PT Field Goal",19,"Utah Jazz",141,134
"571","Golden State Warriors","2/27/17",2016,1,8,44,"y","Jump Shot","2PT Field Goal",20,"Philadelphia 76ers",-204,-21
"572","Golden State Warriors","1/20/17",2016,2,9,32,"y","Jump Shot","2PT Field Goal",21,"Houston Rockets",-212,16
"573","Golden State Warriors","11/16/16",2016,3,11,26,"y","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-150,224
"574","Golden State Warriors","11/16/16",2016,3,10,53,"y","Jump Shot","3PT Field Goal",24,"Toronto Raptors",240,36
